1697328000000,9.14000000,9.15000000,9.12000000,9.14000000,511.19000000,1697331599999,4666.56260000,47,185.58000000,1695.24490000,0
1697331600000,9.14000000,9.26000000,9.14000000,9.23000000,2484.44000000,1697335199999,22964.96310000,83,1604.19000000,14831.66960000,0
1697335200000,9.24000000,9.25000000,9.18000000,9.20000000,4518.44000000,1697338799999,41614.78580000,126,3509.95000000,32326.38270000,0
1697338800000,9.21000000,9.21000000,9.17000000,9.17000000,1317.15000000,1697342399999,12096.00840000,47,741.80000000,6816.94900000,0
1697342400000,9.17000000,9.18000000,9.15000000,9.15000000,1571.77000000,1697345999999,14395.82440000,45,388.75000000,3559.51250000,0
1697346000000,9.15000000,9.15000000,9.14000000,9.15000000,176.47000000,1697349599999,1613.69300000,21,76.79000000,702.48850000,0
1697349600000,9.15000000,9.16000000,9.15000000,9.16000000,82.02000000,1697353199999,750.64110000,9,15.81000000,144.81960000,0
1697353200000,9.16000000,9.16000000,9.15000000,9.16000000,1265.42000000,1697356799999,11588.84610000,32,597.75000000,5475.39000000,0
1697356800000,9.17000000,9.18000000,9.16000000,9.16000000,1353.61000000,1697360399999,12411.48400000,41,1231.45000000,11292.41170000,0
1697360400000,9.17000000,9.23000000,9.13000000,9.15000000,21303.24000000,1697363999999,195694.32400000,339,11058.47000000,101759.02800000,0
1697364000000,9.14000000,9.15000000,9.13000000,9.14000000,1391.30000000,1697367599999,12717.54880000,35,668.90000000,6117.37930000,0
1697367600000,9.13000000,9.13000000,9.11000000,9.11000000,10017.04000000,1697371199999,91320.08860000,167,3973.77000000,36222.32910000,0
1697371200000,9.11000000,9.12000000,9.09000000,9.12000000,3104.24000000,1697374799999,28251.80690000,56,2175.31000000,19798.48950000,0
1697374800000,9.10000000,9.17000000,9.08000000,9.09000000,14752.66000000,1697378399999,134665.05230000,309,12112.82000000,110572.60150000,0
1697378400000,9.09000000,9.13000000,9.09000000,9.12000000,4059.80000000,1697381999999,36989.12410000,80,1927.83000000,17552.71760000,0
1697382000000,9.11000000,9.14000000,9.11000000,9.13000000,1757.83000000,1697385599999,16048.48610000,44,1458.50000000,13313.66560000,0
1697385600000,9.13000000,9.14000000,9.09000000,9.14000000,3670.60000000,1697389199999,33518.98110000,82,2433.40000000,22231.70870000,0
1697389200000,9.14000000,9.16000000,9.14000000,9.16000000,4556.91000000,1697392799999,41707.50460000,117,2212.65000000,20259.31320000,0
1697392800000,9.17000000,9.19000000,9.16000000,9.19000000,2427.80000000,1697396399999,22280.47460000,83,1013.24000000,9296.27240000,0
1697396400000,9.19000000,9.20000000,9.15000000,9.16000000,3169.99000000,1697399999999,29096.88330000,79,2202.46000000,20215.58100000,0
1697400000000,9.16000000,9.21000000,9.16000000,9.19000000,3942.83000000,1697403599999,36213.56500000,133,1988.90000000,18268.68150000,0
1697403600000,9.20000000,9.20000000,9.15000000,9.17000000,5627.48000000,1697407199999,51654.15660000,76,1134.01000000,10410.30140000,0
1697407200000,9.18000000,9.21000000,9.15000000,9.16000000,1924.76000000,1697410799999,17685.45370000,100,1145.19000000,10526.32570000,0
1697410800000,9.14000000,9.17000000,9.14000000,9.17000000,1368.90000000,1697414399999,12533.23180000,36,930.37000000,8522.28010000,0
